customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit
1001,"Humphrey, Powers and Cardenas",Wilson,Miranda,1138312042,1976 Nicholas Highway Suite 887,Apt. 652,Brianmouth,Georgia,20766,Guadeloupe,2004,133025.89
1002,Rojas Inc,Stewart,Roger,219-109-5413x51192,5441 Brandon Stream Apt. 570,Suite 005,Davidland,Utah,90669,Gibraltar,2009,56341.39
1003,"Dyer, Manning and Martin",Williams,Corey,(720)684-1418,546 Taylor View Apt. 382,Suite 349,Randolphside,Vermont,78171,Dominican Republic,2005,78597.55
1004,Flores-Ross,Carroll,Michael,2653131114,4385 Thomas Ferry,Apt. 482,Hallberg,Oregon,45680,Congo,2005,79301.2
1005,"Burnett, Hamilton and Sullivan",Roberts,Michael,232.210.6341x4445,5302 Arnold Road,Apt. 558,North Ashley,North Dakota,69596,Namibia,2005,60263.34
1006,"Cruz, Greene and Harris",Bryant,Randy,707.702.9989x5235,68929 Roberts Village Apt. 437,Apt. 653,Lake Tracyland,New Jersey,66454,Andorra,2008,54344.76
1007,Morales and Sons,Clark,Jeffrey,(510)093-0790x5940,6782 Beard Drive Apt. 873,Suite 836,Powellville,Rhode Island,47538,Bouvet Island (Bouvetoya),2006,84373.53
1008,Booth-Gonzalez,Rice,Amy,001-966-363-9834x567,0534 Yang Curve Apt. 744,Suite 037,Lake Joshuabury,Connecticut,47123,Saint Barthelemy,2006,144250.92
1009,"Russell, Sparks and Greer",Paul,Eric,764-295-7605x52893,7948 Montoya Way Apt. 851,Suite 534,West Jeremy,Texas,85639,Kyrgyz Republic,2004,86587.59
1010,Hamilton-Anderson,Cowan,Tammy,(401)931-5220,13994 Sandra Gardens Suite 984,Suite 459,Taylorchester,Louisiana,08922,Saint Lucia,2008,79304.12
1011,Richardson Group,Carter,Laura,(732)501-3206,78960 John Wells,Apt. 929,Knightmouth,North Dakota,69454,Maldives,2010,101690.15
1012,"Galloway, Velasquez and Jimenez",Patel,Brittany,855-502-8984x0966,958 Rice Vista,Suite 608,North Cindy,Georgia,00850,New Zealand,2007,85645.58
1013,Hudson-Hobbs,Torres,Karen,681-150-5370,600 Anthony Walks,Suite 957,Robinview,Arizona,68204,Belize,2001,96081.47
1014,Pearson-Fuller,Kennedy,Kelly,+1-921-305-4191x9369,76891 Elizabeth Streets Apt. 023,Apt. 948,New Donnaberg,Louisiana,61342,Netherlands,2002,74693.16
1015,"Watson, Guzman and Fields",Hill,Michael,+1-235-219-9991x624,4248 Robert Expressway,Suite 398,West Michaelhaven,South Dakota,64638,Heard Island and McDonald Islands,2010,87571.79
1016,"Olson, Anderson and Jackson",Davis,Michael,093-173-8981x834,193 Amanda Burg,Suite 466,West Nancy,Connecticut,98524,French Southern Territories,2003,56730.65
1017,"Jones, Sullivan and Shannon",Velez,Diane,+1-243-910-8501x0428,940 Sullivan Passage Suite 570,Suite 152,North Taylor,Massachusetts,80226,Tonga,2003,80448.76
1018,Simpson and Sons,Young,Jody,+1-283-882-3953,45724 Catherine Forges Suite 985,Apt. 745,Downschester,Arizona,95861,Panama,2006,83396.99
1019,Schroeder-Miller,Dillon,Dean,001-497-228-3604,092 Dustin Port,Apt. 574,Gregland,Nevada,97519,Romania,2008,118441.76
1020,"Leblanc, Williams and Marks",Lee,Kaitlyn,(589)662-4592,916 Savage Village Suite 785,Suite 049,East Michaelborough,Utah,63110,Micronesia,2003,141578.09
1021,Mendoza Ltd,Clark,Brittany,+1-285-512-7104x687,154 Christina Harbor Apt. 622,Suite 671,North Brandonfort,Massachusetts,87927,Saint Helena,2001,105492.83
1022,"Spears, Patel and Atkinson",Rodriguez,Kim,(558)156-1451x62571,70546 Gavin Gardens Apt. 516,Suite 761,Reedmouth,Vermont,13662,Australia,2007,143811.36
1023,"Harris, King and Davis",Lee,Edward,+1-652-764-2324x194,76108 Duffy Lights,Apt. 742,Austinton,Alaska,61082,Belize,2003,106753.74
1024,"Jenkins, Cole and Weber",Wiggins,Jennifer,109-569-7172x7075,1391 Hill Plaza Suite 496,Suite 343,Lauraside,Indiana,75621,Spain,2003,116188.28
1025,Owens Ltd,Jackson,Samantha,(783)685-7504x3243,54269 Bryant Square Apt. 474,Apt. 973,Houseton,New Jersey,09538,United States Minor Outlying Islands,2003,73508.68
1026,"Miller, Robinson and Owens",Johnson,Kathleen,+1-739-356-0385x185,49404 Lewis Village Apt. 397,Apt. 166,West Katherineborough,Arkansas,36424,Bolivia,2002,96458.64
1027,Coleman Inc,Graves,Richard,001-547-833-9312x4037,7476 Kimberly Lakes,Suite 663,Emilychester,Hawaii,12816,Latvia,2007,101183.17
1028,Russo Group,Kim,Allison,564.553.5781,0659 Hunter Plains Apt. 785,Suite 794,Cristianbury,Montana,54886,Slovakia (Slovak Republic),2005,108517.38
1029,Horton PLC,Lowery,Deanna,402-805-6849x5711,10677 James Summit,Suite 332,Michaelton,Nebraska,92085,Norway,2004,108883.86
1030,"Davis, Cowan and Thompson",Woods,Rodney,(074)172-7127x73584,3005 Amanda Inlet,Apt. 242,New Patrickfurt,Maryland,87606,Liberia,2005,87236.29
