employeeNumber,lastName,firstName,extension,email,officeCode,reportsTo,jobTitle
2001,Kramer,Kevin,9DK9,john09@mccullough.com,OFC5,,"Engineer, maintenance"
2002,Hunt,Amanda,1S6V,sweeneysuzanne@wilson-jackson.com,OFC4,2001.0,Visual merchandiser
2003,Higgins,Valerie,5HDB,marcus15@patel-guzman.com,OFC5,2001.0,"Librarian, public"
2004,Rose,Denise,9538,kristy47@yahoo.com,OFC3,2001.0,"Administrator, education"
2005,Tucker,Joseph,3EAD,smeyers@yahoo.com,OFC2,2001.0,Engineering geologist
2006,Blake,Julie,O3MN,matthew59@hotmail.com,OFC2,2001.0,Physiological scientist
2007,Jones,Jeffrey,ZT8C,robert37@park.biz,OFC3,2001.0,"Designer, exhibition/display"
2008,Harris,Ashley,ZW8I,peterskaren@davis-wells.com,OFC2,2001.0,Set designer
2009,Edwards,Thomas,BHDW,annettecampbell@hotmail.com,OFC1,2001.0,Chartered loss adjuster
2010,Williams,Kathy,WK8N,dillon67@yahoo.com,OFC1,2001.0,Interior and spatial designer
